anomaly_region_id,start_time,end_time,points,max_score,mean_score,cpu_mean,voltage_mean,relation_signal_mean,cpu_score_mean,voltage_score_mean
130,2025-10-18 23:08:00,2025-10-18 23:13:30,12,1.0,1.0,50.31380049999999,11.903999999999998,0.11165108361780023,0.4633061316666667,1.1826796999999998
131,2025-10-18 23:44:00,2025-10-18 23:44:00,1,1.0,1.0,50.334645,11.904,0.3328468268551761,0.3892125,1.1826797
132,2025-10-19 00:17:30,2025-10-19 00:19:00,4,1.0,1.0,50.31792925,11.904,0.15546417219706593,0.4557762475,1.1826797
133,2025-10-19 02:06:30,2025-10-19 02:09:30,7,1.0,1.0,50.309628142857136,11.903999999999998,0.06737524878048061,0.5662310928571429,1.1826796999999998
134,2025-10-19 03:00:30,2025-10-19 03:00:30,1,1.0,1.0,50.268213,11.904,-0.372110145715244,0.38943273,1.1826797
135,2025-10-19 03:02:00,2025-10-19 03:05:30,8,1.0,1.0,50.304640125,11.904,0.014443860779262189,0.475793475,1.1826797
136,2025-10-19 04:45:00,2025-10-19 04:51:00,13,1.0,1.0,50.30880815384615,11.903999999999998,0.05867376499666155,0.5286424030769232,1.1826796999999998
137,2025-10-19 04:57:30,2025-10-19 04:58:00,2,1.0,1.0,50.3658105,11.904,0.663566006296468,0.411225705,1.1826797
138,2025-10-19 05:08:30,2025-10-19 05:13:00,10,1.0,1.0,50.31149799999999,11.904,0.08721762640826962,0.5943047539999999,1.1826797
139,2025-10-19 05:29:30,2025-10-19 05:39:30,21,1.0,1.0,48.42348976190476,11.904,-19.947774120274854,0.5831487466666667,1.1826797000000002
140,2025-10-19 05:40:30,2025-10-19 05:40:30,1,1.0,1.0,46.630861,11.904,-38.970626735506364,0.37159497,1.1826797
141,2025-10-19 05:44:00,2025-10-19 05:58:00,29,1.0,1.0,46.642032551724135,11.904,-38.85207749293712,0.45338405034482754,1.1826797
142,2025-10-19 06:00:00,2025-10-19 06:04:30,10,1.0,1.0,46.64973690000001,11.904,-38.77032120024412,0.467693947,1.1826797
143,2025-10-19 06:17:00,2025-10-19 06:19:30,6,1.0,1.0,46.633903000000004,11.903999999999998,-38.93834592037876,0.48159455999999995,1.1826796999999998
144,2025-10-19 06:26:30,2025-10-19 06:36:00,20,1.0,1.0,46.668521350000006,11.904,-38.5709861056602,0.5058248744999999,1.1826797000000002
145,2025-10-19 06:50:00,2025-10-19 07:06:30,34,1.0,1.0,46.666849823529404,11.904,-38.58872385614605,0.49827052323529414,1.1826797
146,2025-10-19 07:19:30,2025-10-19 07:21:30,5,1.0,1.0,46.675452199999995,11.904,-38.497437950654465,0.41629758799999994,1.1826797
147,2025-10-19 07:23:30,2025-10-19 07:29:30,13,1.0,1.0,46.666427538461534,11.903999999999998,-38.59320502189465,0.48457286615384615,1.1826796999999998
148,2025-10-19 07:32:30,2025-10-19 07:33:00,2,1.0,1.0,46.676185000000004,11.904,-38.489661691178625,0.44254426999999996,1.1826797
149,2025-10-19 07:35:00,2025-10-19 07:35:30,2,1.0,1.0,46.692556999999994,11.904,-38.31592681107686,0.378900615,1.1826797
150,2025-10-19 07:38:00,2025-10-19 07:45:00,15,1.0,1.0,46.680512666666665,11.903999999999998,-38.4437377570561,0.4808369086666667,1.1826797
151,2025-10-19 07:51:30,2025-10-19 07:59:30,17,1.0,1.0,46.668726176470585,11.904,-38.5688125470046,0.44836051941176475,1.1826797
152,2025-10-19 08:04:30,2025-10-19 08:05:00,2,1.0,1.0,46.6811535,11.904,-38.43693742097426,0.895508515,1.1826797
153,2025-10-19 08:10:30,2025-10-19 08:12:00,4,1.0,1.0,46.67146100000001,11.904,-38.539791398825884,0.5269453525000001,0.5117233075
154,2025-10-19 08:31:30,2025-10-19 08:34:00,6,1.0,1.0,0.09728316666666827,12.08,-530.6175838234208,0.5246893333333333,0.41530188000000007
155,2025-10-19 09:59:30,2025-10-19 10:02:30,7,1.0,1.0,0.09361199999999716,12.096000000000002,-530.4607435560491,0.41747984571428576,1.1826796999999998
156,2025-10-19 10:21:00,2025-10-19 10:38:00,35,1.0,1.0,0.09378925714285664,12.096,-530.4588625550435,0.5547701859999999,1.1826797000000002
157,2025-10-19 11:40:00,2025-10-19 11:42:00,5,1.0,1.0,0.0936698000000035,12.0768,-530.6950873377264,0.7489384699999999,0.387705404
158,2025-10-19 13:24:30,2025-10-19 13:25:00,2,1.0,1.0,0.09380850000000145,12.096,-530.4586583554665,0.39302038,0.39287996000000003
159,2025-10-19 13:32:30,2025-10-19 13:32:30,1,1.0,1.0,0.0945009999999939,12.096,-530.451309747815,0.4184771,1.1826797
160,2025-10-19 14:14:00,2025-10-19 14:16:00,5,1.0,1.0,0.3059534000000013,12.096,-528.2074386654035,0.7932557060000001,0.3982099
161,2025-10-19 14:28:30,2025-10-19 14:30:00,4,1.0,1.0,0.09537200000000108,12.096,-530.4420669503211,0.4358407675,1.1826797
162,2025-10-19 15:53:00,2025-10-19 15:56:00,7,1.0,1.0,0.09291499999999882,12.096000000000002,-530.4681399163858,0.45717870857142856,1.1826796999999998
163,2025-10-19 16:04:00,2025-10-19 16:06:30,6,1.0,1.0,0.09380866666666772,12.08,-530.6544542021719,0.5254439949999999,0.47385302999999995
164,2025-10-19 16:17:00,2025-10-19 16:20:00,7,1.0,1.0,49.21647771428571,11.903999999999998,-11.532817680677963,0.5019018857142857,1.1826796999999998
165,2025-10-19 16:30:30,2025-10-19 16:37:30,15,1.0,1.0,49.2332126,11.903999999999998,-11.355231963411347,0.6306826906666667,1.1826797
166,2025-10-19 16:43:30,2025-10-19 16:46:00,6,1.0,1.0,49.35113333333334,11.903999999999998,-10.103891597714819,0.4708122266666667,1.1826796999999998
167,2025-10-19 16:48:00,2025-10-19 16:52:00,9,1.0,1.0,49.21015244444445,11.904,-11.59993959598975,0.4911469766666667,1.1826797
168,2025-10-19 16:56:00,2025-10-19 17:01:00,11,1.0,1.0,49.31221945454545,11.903999999999998,-10.516834308776895,0.5000491718181818,1.1826796999999998
169,2025-10-19 17:03:00,2025-10-19 17:07:30,10,1.0,1.0,49.2295165,11.904,-11.394453896610978,0.455114286,1.1826797
170,2025-10-19 17:09:00,2025-10-19 17:30:00,43,1.0,1.0,49.274008720930226,11.903999999999998,-10.92231544872575,0.6549765646511629,1.1826797
